model,noise,seed,accuracy,f1,disagreement
"k=15, uniform",0.05,13,0.9714285714285714,0.9717514124293786,0.0
"k=15, uniform",0.1,13,0.9657142857142857,0.9659090909090909,0.005714285714285714
"k=15, uniform",0.2,13,0.9714285714285714,0.9714285714285714,0.011428571428571429
"k=15, distance",0.0,13,0.9657142857142857,0.9659090909090909,0.0
"k=15, distance",0.05,13,0.9714285714285714,0.9717514124293786,0.005714285714285714
"k=15, distance",0.1,13,0.9714285714285714,0.9717514124293786,0.005714285714285714
"k=15, distance",0.2,13,0.9657142857142857,0.9659090909090909,0.011428571428571429
Выбрано по CV,0.0,13,0.9657142857142857,0.9659090909090909,0.0
Выбрано по CV,0.05,13,0.9657142857142857,0.9659090909090909,0.0
Выбрано по CV,0.1,13,0.96,0.96045197740113,0.005714285714285714
Выбрано по CV,0.2,13,0.96,0.96,0.005714285714285714
"k=1, uniform",0.0,14,0.9371428571428572,0.9392265193370166,0.0
"k=1, uniform",0.05,14,0.9085714285714286,0.9080459770114943,0.04
"k=1, uniform",0.1,14,0.8685714285714285,0.8670520231213873,0.08
"k=1, uniform",0.2,14,0.7542857142857143,0.7514450867052023,0.21714285714285714
"k=15, uniform",0.0,14,0.96,0.9608938547486033,0.0
"k=15, uniform",0.05,14,0.96,0.9608938547486033,0.0
"k=15, uniform",0.1,14,0.9657142857142857,0.9662921348314607,0.005714285714285714
"k=15, uniform",0.2,14,0.96,0.96045197740113,0.011428571428571429
"k=15, distance",0.0,14,0.96,0.9608938547486033,0.0
"k=15, distance",0.05,14,0.96,0.9608938547486033,0.0
"k=15, distance",0.1,14,0.9657142857142857,0.9662921348314607,0.005714285714285714
"k=15, distance",0.2,14,0.9485714285714286,0.9491525423728814,0.022857142857142857
Выбрано по CV,0.0,14,0.9657142857142857,0.9666666666666667,0.0
Выбрано по CV,0.05,14,0.9657142857142857,0.9666666666666667,0.0
Выбрано по CV,0.1,14,0.9714285714285714,0.9720670391061452,0.005714285714285714
Выбрано по CV,0.2,14,0.9657142857142857,0.9662921348314607,0.022857142857142857
"k=1, uniform",0.0,15,0.9542857142857143,0.9545454545454546,0.0
"k=1, uniform",0.05,15,0.9028571428571428,0.9050279329608939,0.07428571428571429
"k=1, uniform",0.1,15,0.8628571428571429,0.8681318681318682,0.11428571428571428
"k=1, uniform",0.2,15,0.7428571428571429,0.7428571428571429,0.2342857142857143
"k=15, uniform",0.0,15,0.9657142857142857,0.9662921348314607,0.0
"k=15, uniform",0.05,15,0.9657142857142857,0.9662921348314607,0.0
"k=15, uniform",0.1,15,0.9657142857142857,0.9662921348314607,0.0
"k=15, uniform",0.2,15,0.9657142857142857,0.9662921348314607,0.0
"k=15, distance",0.0,15,0.9542857142857143,0.9545454545454546,0.0
"k=15, distance",0.05,15,0.9542857142857143,0.9545454545454546,0.011428571428571429
"k=15, distance",0.1,15,0.96,0.96045197740113,0.005714285714285714
"k=15, distance",0.2,15,0.9542857142857143,0.9550561797752809,0.022857142857142857
Выбрано по CV,0.0,15,0.9657142857142857,0.9662921348314607,0.0
Выбрано по CV,0.05,15,0.96,0.96045197740113,0.005714285714285714
Выбрано по CV,0.1,15,0.96,0.96045197740113,0.005714285714285714
