k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
31,uniform,manhattan,0.9701190476190475,0.9707302460038456,0.9666666666666665,0.9673391005852786,0.0034722627143735367,0.0033985284230387738,0.016347775293466565,0.015851363218835523
51,uniform,manhattan,0.9686904761904761,0.9693521603283298,0.9676190476190475,0.9682605514563272,0.004520899529505091,0.0044193827932105375,0.019064618264788825,0.01856454194426307
101,uniform,manhattan,0.9535714285714287,0.9545671680897921,0.9499999999999997,0.9510395060461837,0.003306500356330572,0.0032205810537332433,0.019280044518052247,0.01863557201483897
201,uniform,manhattan,0.8605952380952382,0.8642526069808024,0.8604761904761905,0.8636333706775042,0.007709260772090257,0.007645415778869169,0.028168933669932717,0.028327870380411985
501,uniform,manhattan,0.7291666666666665,0.7345852311936268,0.7285714285714288,0.7331358597557406,0.009489201576004625,0.010167959094602535,0.036720518807033836,0.040154144973894926
1,distance,manhattan,1.0,1.0,0.949047619047619,0.9502520209896956,0.0,0.0,0.01746856123672595,0.017391409954410377
3,distance,manhattan,1.0,1.0,0.9599999999999999,0.960656184021325,0.0,0.0,0.01546179340806189,0.015113918026142606
5,distance,manhattan,1.0,1.0,0.9647619047619046,0.9652825293735194,0.0,0.0,0.014901686235876042,0.014970595330614336
7,distance,manhattan,1.0,1.0,0.9680952380952379,0.9685322104412476,0.0,0.0,0.013730715781760794,0.013794487962622951
9,distance,manhattan,1.0,1.0,0.9671428571428571,0.9677441411284651,0.0,0.0,0.01522427094004756,0.014844957597298512
11,distance,manhattan,1.0,1.0,0.9704761904761904,0.9711594541132804,0.0,0.0,0.014754222271266349,0.014164152544990878
15,distance,manhattan,1.0,1.0,0.9690476190476188,0.9697208304795056,0.0,0.0,0.014704738994025362,0.014118091537667993
21,distance,manhattan,1.0,1.0,0.9714285714285714,0.9720841489908437,0.0,0.0,0.01453857841711735,0.014001741797195665
31,distance,manhattan,1.0,1.0,0.9704761904761904,0.9712091470907346,0.0,0.0,0.01661313073236972,0.015893715765159466
51,distance,manhattan,1.0,1.0,0.9695238095238096,0.9701946352245421,0.0,0.0,0.016303129487866844,0.015763900075369906
101,distance,manhattan,1.0,1.0,0.9657142857142856,0.966455085981061,0.0,0.0,0.0209469689980217,0.020372960857788044
201,distance,manhattan,1.0,1.0,0.9447619047619048,0.9455750738703337,0.0,0.0,0.02451670856840664,0.024474534741491163
501,distance,manhattan,1.0,1.0,0.9276190476190477,0.928761173947219,0.0,0.0,0.021910676515887587,0.02202916124320385
1,uniform,chebyshev,1.0,1.0,0.9499999999999997,0.9510392771718585,0.0,0.0,0.0200218539493353,0.02006843436776119
3,uniform,chebyshev,0.9757142857142858,0.9762880152995292,0.9599999999999997,0.9606811663817498,0.004617276468060705,0.0044970811473699825,0.01073127904092645,0.010410545999529458
5,uniform,chebyshev,0.9761904761904762,0.9766745342778181,0.966190476190476,0.9667739411088055,0.002584810230199083,0.0025266252923783206,0.014404269964051603,0.014137176469735543
7,uniform,chebyshev,0.9740476190476192,0.9745381983322775,0.9676190476190475,0.9682037055725053,0.0034326789454401842,0.003324335737880754,0.014754222271266345,0.014224862712942462
9,uniform,chebyshev,0.9736904761904761,0.9742107709447091,0.97,0.9705875167968391,0.0027388345644859388,0.002668226008363611,0.015079961797478506,0.014633322917012987
11,uniform,chebyshev,0.9728571428571429,0.973423966370652,0.9695238095238093,0.9701932211215448,0.0038889467347264155,0.003832685293550994,0.01759328876372494,0.016912224881412145
15,uniform,chebyshev,0.9714285714285715,0.9720335953915087,0.9685714285714285,0.9692151304904518,0.003236882025624866,0.00317732010976114,0.01766220124360721,0.01697399464133516
21,uniform,chebyshev,0.9697619047619047,0.970386563566006,0.966190476190476,0.9668898654399742,0.002567126030100923,0.0024681674481732327,0.01696048113441899,0.016274807707030436
31,uniform,chebyshev,0.9688095238095239,0.9695023001733613,0.9666666666666665,0.9674094397623655,0.003626279473271479,0.003528889970094886,0.017216395557610585,0.01650858727362053
51,uniform,chebyshev,0.9680952380952381,0.9687333278490161,0.9676190476190474,0.968306132048777,0.00431466975810166,0.004240880909825528,0.01767595149967472,0.017088380046909168
101,uniform,chebyshev,0.9521428571428572,0.9531588781526985,0.9490476190476189,0.9502050270554399,0.0037699904493696595,0.0036734356700302557,0.01962971112357354,0.019115487481455383
201,uniform,chebyshev,0.8901190476190475,0.8935070055434153,0.8923809523809523,0.895601872819648,0.005265658771083551,0.005019677036398022,0.020465904709734896,0.01953517404685862
501,uniform,chebyshev,0.708095238095238,0.7094023251150653,0.7061904761904761,0.7067943036137094,0.008950652966826277,0.01062517470000608,0.04110949138370624,0.047231753964284376
1,distance,chebyshev,1.0,1.0,0.9499999999999997,0.9510392771718585,0.0,0.0,0.0200218539493353,0.02006843436776119
