model,noise,seed,accuracy,f1,disagreement
leaf=10,0.2,11,0.9142857142857143,0.918918918918919,0.11428571428571428
Выбрано по CV,0.0,11,0.9571428571428572,0.958904109589041,0.0
Выбрано по CV,0.05,11,0.8857142857142857,0.8857142857142857,0.12857142857142856
Выбрано по CV,0.1,11,0.9428571428571428,0.9428571428571428,0.1
Выбрано по CV,0.2,11,0.9142857142857143,0.9142857142857143,0.12857142857142856
Без ограничений,0.0,12,0.9428571428571428,0.9393939393939394,0.0
Без ограничений,0.05,12,0.9142857142857143,0.9117647058823529,0.02857142857142857
Без ограничений,0.1,12,0.8428571428571429,0.8493150684931506,0.12857142857142856
Без ограничений,0.2,12,0.7857142857142857,0.7945205479452054,0.21428571428571427
depth=3,0.0,12,0.8714285714285714,0.8767123287671232,0.0
depth=3,0.05,12,0.8714285714285714,0.8767123287671232,0.0
depth=3,0.1,12,0.8714285714285714,0.88,0.02857142857142857
depth=3,0.2,12,0.8571428571428571,0.868421052631579,0.04285714285714286
depth=5,0.0,12,0.9428571428571428,0.9393939393939394,0.0
depth=5,0.05,12,0.9428571428571428,0.9411764705882353,0.02857142857142857
depth=5,0.1,12,0.9,0.9014084507042254,0.1
depth=5,0.2,12,0.8285714285714286,0.8461538461538461,0.17142857142857143
leaf=5,0.0,12,0.9428571428571428,0.9393939393939394,0.0
leaf=5,0.05,12,0.9428571428571428,0.9411764705882353,0.02857142857142857
leaf=5,0.1,12,0.9,0.9014084507042254,0.1
leaf=5,0.2,12,0.8571428571428571,0.8571428571428571,0.11428571428571428
leaf=10,0.0,12,0.9428571428571428,0.9393939393939394,0.0
leaf=10,0.05,12,0.9428571428571428,0.9411764705882353,0.02857142857142857
leaf=10,0.1,12,0.9285714285714286,0.9253731343283582,0.04285714285714286
leaf=10,0.2,12,0.9,0.8985507246376812,0.07142857142857142
Выбрано по CV,0.0,12,0.9571428571428572,0.9565217391304348,0.0
Выбрано по CV,0.05,12,0.9571428571428572,0.9552238805970149,0.02857142857142857
Выбрано по CV,0.1,12,0.8714285714285714,0.8732394366197183,0.11428571428571428
Выбрано по CV,0.2,12,0.8142857142857143,0.8115942028985508,0.14285714285714285
Без ограничений,0.0,13,0.9714285714285714,0.9714285714285714,0.0
Без ограничений,0.05,13,0.8857142857142857,0.8888888888888888,0.11428571428571428
Без ограничений,0.1,13,0.8714285714285714,0.8732394366197183,0.1
Без ограничений,0.2,13,0.7,0.7123287671232876,0.2714285714285714
depth=3,0.0,13,0.9,0.8923076923076924,0.0
depth=3,0.05,13,0.9,0.8923076923076924,0.0
depth=3,0.1,13,0.8714285714285714,0.8571428571428571,0.02857142857142857
depth=3,0.2,13,0.8428571428571429,0.8253968253968254,0.05714285714285714
depth=5,0.0,13,0.9714285714285714,0.9714285714285714,0.0
depth=5,0.05,13,0.9571428571428572,0.9577464788732394,0.014285714285714285
depth=5,0.1,13,0.9142857142857143,0.9142857142857143,0.05714285714285714
depth=5,0.2,13,0.9,0.8985507246376812,0.07142857142857142
leaf=5,0.0,13,0.9571428571428572,0.9577464788732394,0.0
leaf=5,0.05,13,0.9571428571428572,0.9577464788732394,0.0
leaf=5,0.1,13,0.8857142857142857,0.8857142857142857,0.1
leaf=5,0.2,13,0.8714285714285714,0.8656716417910447,0.11428571428571428
leaf=10,0.0,13,0.9571428571428572,0.9577464788732394,0.0
leaf=10,0.05,13,0.9571428571428572,0.9577464788732394,0.0
leaf=10,0.1,13,0.9428571428571428,0.9428571428571428,0.014285714285714285
leaf=10,0.2,13,0.9428571428571428,0.9428571428571428,0.014285714285714285
Выбрано по CV,0.0,13,0.9571428571428572,0.9577464788732394,0.0
Выбрано по CV,0.05,13,0.9571428571428572,0.9577464788732394,0.05714285714285714
Выбрано по CV,0.1,13,0.8285714285714286,0.8,0.18571428571428572
Выбрано по CV,0.2,13,0.7714285714285715,0.7714285714285715,0.24285714285714285
Без ограничений,0.0,14,0.9571428571428572,0.9565217391304348,0.0
Без ограничений,0.05,14,0.9285714285714286,0.9315068493150684,0.05714285714285714
Без ограничений,0.1,14,0.8857142857142857,0.8857142857142857,0.07142857142857142
Без ограничений,0.2,14,0.7428571428571429,0.7631578947368421,0.21428571428571427
depth=3,0.0,14,0.9,0.9066666666666666,0.0
depth=3,0.05,14,0.9,0.9066666666666666,0.0
depth=3,0.1,14,0.8857142857142857,0.8947368421052632,0.014285714285714285
depth=3,0.2,14,0.8571428571428571,0.8717948717948718,0.04285714285714286
depth=5,0.0,14,0.9571428571428572,0.9565217391304348,0.0
depth=5,0.05,14,0.9571428571428572,0.9577464788732394,0.02857142857142857
depth=5,0.1,14,0.9142857142857143,0.918918918918919,0.07142857142857142
depth=5,0.2,14,0.8714285714285714,0.8732394366197183,0.08571428571428572
leaf=5,0.0,14,0.9714285714285714,0.9714285714285714,0.0
leaf=5,0.05,14,0.9714285714285714,0.9714285714285714,0.0
leaf=5,0.1,14,0.9428571428571428,0.9444444444444444,0.02857142857142857
leaf=5,0.2,14,0.7571428571428571,0.7605633802816901,0.21428571428571427
leaf=10,0.0,14,0.9428571428571428,0.9444444444444444,0.0
leaf=10,0.05,14,0.9714285714285714,0.9714285714285714,0.02857142857142857
leaf=10,0.1,14,0.9428571428571428,0.9444444444444444,0.05714285714285714
