method,degree,alpha,cv_mse_mean,cv_mse_std,variant
Lasso,5,10.0,1079.7769509422042,457.5828050812892,3
Lasso,5,100.0,1755.205002596046,660.4907241184393,3
Lasso,6,0.01,793.7933092409652,338.6800640564712,3
Lasso,6,0.1,785.5314608207416,236.9178039468451,3
Lasso,6,1.0,786.9359787424021,210.61998210050126,3
Lasso,6,10.0,1079.7769509422042,457.5828050812892,3
Lasso,6,100.0,1755.205002596046,660.4907241184393,3
Lasso,7,0.01,790.9374403139776,348.0907323934858,3
Lasso,7,0.1,783.5577636791791,230.74269621881888,3
Lasso,7,1.0,787.3437717718832,210.72278408186554,3
Lasso,7,10.0,1079.7769509422042,457.5828050812892,3
Lasso,7,100.0,1755.205002596046,660.4907241184393,3
Lasso,8,0.01,921.6625620115954,385.57097774795835,3
Lasso,8,0.1,794.5454175465853,271.3854061917706,3
Lasso,8,1.0,787.3437717718833,210.72278408186574,3
Lasso,8,10.0,1079.7769509422042,457.5828050812892,3
Lasso,8,100.0,1755.205002596046,660.4907241184393,3
Lasso,9,0.01,924.4996053312076,384.684477924537,3
Lasso,9,0.1,799.8159946136835,269.45469402494734,3
Lasso,9,1.0,787.0258475400065,210.95029997395787,3
Lasso,9,10.0,1079.7769509422042,457.58280508128917,3
Lasso,9,100.0,1755.205002596046,660.4907241184393,3
